issuer
A.A.A. Aktiengesellschaft Allgemeine Anlageverwaltung vorm. Seilwolff AG von 1899
A.S. Création Tapeten Aktiengesellschaft
Aachener Strassenbahn und Energieversorgungs-Aktiengesellschaft
Aachener und Münchener Lebensversicherung Aktiengesellschaft
Aachener und Münchener Versicherung Aktiengesellschaft
Acordis Aktiengellschaft
Adlerwerke vorm. Heinrich Kleyer Aktiengesellschaft
AGIV Aktiengesellschaft
AGROB Aktiengesellschaft
"Ahlers, Adolf, Aktiengesellschaft"
"Aigner, Etienne, Aktiengesellschaft"
Aktienbrauerei Kaufbeuren Aktiengesellschaft
ALBINGIA Versicherungs-Aktiengesellschaft
Albis Leasing Aktiengesellschaft
ALCATEL SEL Aktiengesellschaft
Alexanderwerk Aktiengesellschaft
Allbecon Aktiengesellschaft
Allerthal-Werke Aktiengesellschaft
Allianz Aktiengesellschaft
Allianz Lebensversicherungs-Aktiengesellschaft
Allweiler Aktiengesellschaft
ALNO Aktiengesellschaft
Alsen Aktiengesellschaft
Altana Aktiengesellschaft
"Altenburger und Stralsunder Spielkarten-Fabriken Aktiengesellschaf, ASS i.K."
Amadeus Aktiengesellschaft für Zeitarbeit und Arbeitsvermittlung
AMB Aachener und Münchener Beteiligungs-Aktiengesellschaft
Andreae-Noris Zahn Aktiengesellschaft
ANTERRA Vermögensverwaltungs-Aktiengesellschaft
Asea Brown Boveri Aktiengesellschaft
AUDI Aktiengesellschaft
Augsburger Kammgarn-Spinnerei Aktiengesellschaft
AVA Allgemeine Handelsgesellschaft der Verbraucher Aktiengesellschaft
AXA Colonia Konzern Aktiengesellschaft
B.U.S Berzelius Umwelt-Service Aktiengesellschaft
Baader Wertpapierhandelsbank Aktiengesellschaft
Babcock Borsig Aktiengesellschaft
Babcock-BSH Aktiengesellschaft
Baden-Württembergische Bank Aktiengesellschaft
Bankgesellschaft Berlin Aktiengesellschaft
Barmag Aktiengesellschaft
BASF Aktiengesellschaft
Bau-Verein zu Hamburg Aktien-Gesellschaft
BAUSCH + LINNEMANN Aktiengesellschaft
Bausch Aktiengesellschaft
BAYER Aktiengesellschaft
Bayerische Handelsbank Aktiengesellschaft
Bayerische Hypo- und Vereinsbank Aktiengesellschaft
BDAG Balcke-Dürr Aktiengesellschaft
Beiersdorf Aktiengesellschaft
BERENTZEN-GRUPPE Aktiengesellschaft
Berlin-Hannoversche Hypothekenbank Aktiengesellschaft
Berliner Effektengesellschaft Aktiengesellschaft
Berliner Elektro Holding Aktiengesellschaft
Berliner Kindl Brauerei Aktiengesellschaft
Berliner Kraft- und Licht (Bewag)-Aktiengesellschaft
BERU Aktiengesellschaft
BHF-Bank Aktiengesellschaft
BHS tabletop Aktiengesellschaft
BHW Holding Aktiengesellschaft
BIEN-HAUS Aktiengesellschaft
Bilfinger + Berger Bauaktiengesellschaft
Binding-Brauerei Aktiengesellschaft
Biotest Aktiengesellschaft
Blaue Quellen Mineral- und Heilbrunnen Aktiengesellschaft
BM Bäckermühlen Aktiengesellschaft
bmp Aktiengesellschaft
BMW Bayerische Motorenwerke Aktiengesellschaft
Bochum-Gelsenkirchener Strassenbahnen Aktiengesellschaft
"Boss, Hugo Aktiengesellschaft"
Böwe Systec Aktiengesellschaft
Brau und Brunnen Aktiengesellschaft
Bremer Strassenbahn Aktiengesellschaft
Bremer Woll-Kämmerei Aktiengesellschaft
Brilliant Aktiengesellschaft
Buderus Aktiengesellschaft
Bürgerliches Brauhaus Ingolstadt Aktiengesellschaft
Bürgerliches Brauhaus Ravensburg-Lindau Aktiengesellschaft
CEAG Industrie-Aktien und Anlagen Aktiengesellschaft
Celanese Aktiengesllschaft
CinemaxX Aktiengesellschaft
Commerzbank Aktiengesellschaft
Commerzbank Aktiengesellschaft von 1870
Computer 2000 Aktiengesellschaft
CONCORDIA Bau und Boden Aktiengesellschaft
CONCORDIA Industrie Holding Aktiengesellschaft
CONTIGAS Deutsche Energie-Aktiengesellschaft
Continental Aktiengesellschaft
CREATON Aktiengesellschaft
Dahlbusch Aktiengesellschaft
DaimlerChrysler Aktiengesellschaft
DATA MODUL Aktiengesellschaft
DBV-Winterthur Holding Aktiengesellschaft
debitel Aktiengesellschaft
Degussa-Hüls Aktiengesellschaft
DePfa Deutsche Pfandbriefbank Aktiengesellschaft
Deutsche Bank Lübeck Aktiengesellschaft
Deutsche Beteiligungs Aktiengesellschaft Unternehmensbeteiligungsgesellschaft
Deutsche Effecten- und Wechsel- Beteiligungsgesellschaft Aktiengesellschaft
Deutsche Hyp Deutsche Hypothekenbank Frankfurt-Hamburg Aktiengesellschaft
Deutsche Hypothekenbank (Actien-Gesellschaft)
Deutsche Lufthansa Aktiengesellschaft
Deutsche Real Estate Aktiengesellschaft
Deutsche Steinzeug Cremer & Breuer Aktiengesellschaft
Deutsche Telekom Aktiengesellschaft
Deutsche Verkehrsbank Aktiengesellschaft
Deutsche Wohnen Aktiengesellschaft
Deutscher Eisenhandel Aktiengesellschaft
DEUTZ Aktiengesellschaft
DIBAG Industriebau Aktiengesellschaft
Didier-Werke Aktiengesellschaft
DIERIG Holding Aktiengesellschaft
DIS Deutscher Industrie Service Aktiengesellschaft
DLW Aktiengesellschaft
DOAG Holding Aktiengesellschaft
Dom-Brauerei Aktiengesellschaft
Dortmunder Actien-Brauerei Aktiengesellschaft
DOUGLAS Holding Aktiengesellschaft
Dresdner Bank Aktiengesellschaft
DSL Holding Aktiengesellschaft
DUEWAG Aktiengesellschaft
Dürkopp Adler Aktiengesellschaft
DÜRR Aktiengesellschaft
Dyckerhoff & Widmann Aktiengesellschaft
Dyckerhoff Aktiengesellschaft
E`ZWO Computervertriebs Aktiengesellschaft
Edelstahlwerk Witten Aktiengesellschaft
Edscha Aktiengesellschaft
